Tipo Titulo;Vencimento do Titulo;Data Venda;PU;Quantidade;Valor
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;16/10/2002;866;3.4;2944.4
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;16/10/2002;866;5.6;4849.6
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;18/10/2002;869.47;29;25214.63
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;21/10/2002;869.75;2;1739.5
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;22/10/2002;873.3;0.2;174.66
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;24/10/2002;885.55;44.6;39495.53
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;25/10/2002;888.75;3;2666.25
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;28/10/2002;893.18;12.2;10896.78
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;29/10/2002;894.5;0.2;178.9
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;31/10/2002;898.95;31;27867.45
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;01/11/2002;904.48;120;108537.6
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;01/11/2002;904.48;4.6;4160.59
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;04/11/2002;910.15;14.8;13470.22
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;06/11/2002;910.55;18.8;17118.34
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;07/11/2002;910.94;3;2732.82
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;08/11/2002;912.13;1.2;1094.56
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;11/11/2002;914.24;5;4571.2
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;12/11/2002;916.25;8.2;7513.25
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;13/11/2002;916.65;23;21082.95
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;18/11/2002;927.46;2;1854.92
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;19/11/2002;927.36;4.6;4265.85
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;20/11/2002;928.88;3.2;2972.42
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;21/11/2002;930.4;18.4;17119.36
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;22/11/2002;931.91;1.2;1118.29
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;25/11/2002;937.41;9.6;8999.13
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;26/11/2002;946.78;5.4;5112.6
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;28/11/2002;951.34;12.4;11796.61
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;29/11/2002;953.21;2.8;2668.98
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;02/12/2002;959.56;74.4;71391.26
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;03/12/2002;961.16;18.4;17685.33
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;04/12/2002;963.36;1.8;1734.05
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;05/12/2002;965.6;59.2;57163.52
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;06/12/2002;967.82;6.4;6194.04
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;09/12/2002;972.09;6.2;6026.95
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;10/12/2002;974.33;22.4;21824.98
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;11/12/2002;975.72;5.4;5268.87
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;12/12/2002;977.81;16.4;16036.07
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;13/12/2002;978.5;58.8;57535.8
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;16/12/2002;981.52;5;4907.6
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;17/12/2002;983.06;3.4;3342.42
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;18/12/2002;982.91;59.6;58581.42
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;20/12/2002;984.05;7;6888.35
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;23/12/2002;959.5;0.8;767.6
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;24/12/2002;964.59;17;16398.03
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;27/12/2002;966.15;1;966.15
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;30/12/2002;969.28;18.4;17834.74
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;03/01/2003;973.14;5;4865.7
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;06/01/2003;975.4;0.2;195.08
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;07/01/2003;976.4;1.4;1366.96
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;08/01/2003;977.41;7;6841.87
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;09/01/2003;977.59;12.8;12513.14
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;10/01/2003;979.45;0.2;195.89
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;13/01/2003;982.13;5;4910.65
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;15/01/2003;983.54;5;4917.7
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;17/01/2003;986.61;1.2;1183.93
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;20/01/2003;987.55;1.6;1580.08
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;21/01/2003;988.68;5;4943.4
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;22/01/2003;990.64;6.4;6340.1
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;23/01/2003;992.61;9.8;9727.57
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;27/01/2003;995.38;2.8;2787.05
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;28/01/2003;996.48;4.8;4783.09
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;29/01/2003;996.75;0.6;598.05
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;31/01/2003;999.78;22.2;22195.1
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;03/02/2003;1002.3;2.8;2806.44
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;04/02/2003;1004.73;212.2;213203.7
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;05/02/2003;1005.6;2.2;2212.33
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;06/02/2003;1009.03;2;2018.06
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;10/02/2003;1014.33;10.6;10751.89
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;11/02/2003;1015.21;2;2030.42
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;12/02/2003;1016.96;3.2;3254.27
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;13/02/2003;1019.25;0.4;407.7
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;14/02/2003;1020.2;1;1020.2
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;17/02/2003;1022.21;29.4;30052.96
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;18/02/2003;1024.88;1.2;1229.85
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;20/02/2003;1029.35;0.4;411.74
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;21/02/2003;1030.3;8.2;8448.46
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;24/02/2003;1038.38;2;2076.76
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;25/02/2003;1040.43;10.2;10612.38
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;26/02/2003;1041.62;1;1041.62
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;27/02/2003;1042.8;170.2;177484.56
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;28/02/2003;1043.99;43.4;45309.16
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;05/03/2003;1053.78;15.8;16649.72
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;06/03/2003;1055.81;11.4;12036.22
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;07/03/2003;1057.54;46.6;49281.35
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;10/03/2003;1059.24;7.2;7626.52
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;11/03/2003;1059.2;60.6;64187.52
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;12/03/2003;1059.15;2.4;2541.96
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;13/03/2003;1060.88;1.2;1273.06
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;14/03/2003;1062.63;5.2;5525.67
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;17/03/2003;1063.39;8.4;8932.47
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;19/03/2003;1063.3;1;1063.3
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;20/03/2003;1061.47;5.4;5731.93
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;21/03/2003;1063.2;0.2;212.64
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;24/03/2003;1064.15;6.4;6810.56
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;25/03/2003;1065.04;17;18105.68
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;26/03/2003;1065.04;8.4;8946.32
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;27/03/2003;1065.94;3;3197.82
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;02/04/2003;1026.42;203;208363.26
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;03/04/2003;1027.17;13.6;13969.5
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;04/04/2003;1028.82;10.8;11111.24
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;07/04/2003;1031.16;9.2;9486.66
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;08/04/2003;1031.92;4;4127.68
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;09/04/2003;1030.88;3.4;3504.98
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;10/04/2003;1031.63;7.8;8046.7
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;11/04/2003;1032.18;1;1032.18
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;14/04/2003;1034.47;3;3103.41
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;15/04/2003;1036.1;0.2;207.22
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;16/04/2003;1037.74;8.8;9132.11
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;22/04/2003;1041.73;3.2;3333.54
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;23/04/2003;1042.49;12.4;12926.87
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;28/04/2003;1047.25;1.2;1256.7
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;29/04/2003;1050.75;33;34674.75
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;02/05/2003;1053.62;23;24233.26
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;05/05/2003;1054.95;0.6;632.97
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;06/05/2003;1054.75;0.2;210.95
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;08/05/2003;1055.8;1.2;1266.96
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;09/05/2003;1056.33;1.2;1267.6
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;12/05/2003;1057.13;1;1057.13
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;13/05/2003;1056.75;1;1056.75
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;14/05/2003;1057.29;1;1057.29
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;15/05/2003;1057.03;0.4;422.81
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;16/05/2003;1057.5;1.4;1480.5
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;19/05/2003;1058.11;0.8;846.49
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;20/05/2003;1059.5;2.2;2330.91
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;21/05/2003;1059.07;7.4;7837.1
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;22/05/2003;1054.8;2;2109.59
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;23/05/2003;1055.13;7.8;8230
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;26/05/2003;1054.41;0.8;843.53
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;27/05/2003;1054.75;1.4;1476.65
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;28/05/2003;1056.01;13;13728.13
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;29/05/2003;1055.45;0.2;211.09
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;30/05/2003;1055.78;3;3167.34
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;02/06/2003;1058.65;1;1058.65
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;03/06/2003;1061.18;20;21223.6
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;04/06/2003;1060.16;17;18022.72
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;05/06/2003;1059.73;4.6;4874.75
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;09/06/2003;1060.83;1.8;1909.5
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;10/06/2003;1062.23;0.8;849.78
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;11/06/2003;1063.63;8.2;8721.76
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;12/06/2003;1060.7;0.2;212.14
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;13/06/2003;1062.85;5;5314.25
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;16/06/2003;1060.27;9.8;10390.63
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;17/06/2003;1063.38;67.2;71459.13
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;18/06/2003;1048.06;30.6;32070.55
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;20/06/2003;1063.98;39.4;41920.8
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;23/06/2003;1061.87;7;7433.06
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;24/06/2003;1039.75;0.2;207.95
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;25/06/2003;1062.26;9.4;9985.23
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;26/06/2003;1062.45;192;203990.4
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;27/06/2003;1062.65;0.2;212.53
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;30/06/2003;1062.39;12.6;13386.1
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;01/07/2003;1058.5;34;35989
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;02/07/2003;1061.28;145.2;154097.85
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;03/07/2003;1063.25;0.4;425.3
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;04/07/2003;1063.81;8.6;9148.74
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;07/07/2003;1064.68;0.4;425.87
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;08/07/2003;1066.14;8.6;9168.78
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;09/07/2003;1066.71;1;1066.71
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;10/07/2003;1066.36;1;1066.36
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;14/07/2003;1067.76;12;12813.12
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;15/07/2003;1068.25;4.6;4913.95
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;16/07/2003;1068.75;0.4;427.5
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;17/07/2003;1069.24;7.4;7912.37
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;18/07/2003;1070.64;4.8;5139.06
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;21/07/2003;1071.29;1;1071.29
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;22/07/2003;1071.78;2.2;2357.91
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;23/07/2003;1072.28;0.8;857.82
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;24/07/2003;1067.89;5.2;5553.01
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;25/07/2003;1069.12;6;6414.72
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;30/07/2003;1072.61;3.6;3861.41
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;31/07/2003;1089.55;0.4;435.82
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;04/08/2003;1073.48;10;10734.81
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;05/08/2003;1075.82;9;9682.38
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;06/08/2003;1076.35;0.2;215.27
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;11/08/2003;1082.9;2.4;2598.96
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;12/08/2003;1083.47;1;1083.47
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;13/08/2003;1084.95;4.8;5207.76
